DATA_TYPE,CR_NUMBER,STN_NUMBER,SOURCE_ID,D_P_CODE,OBS_YEAR,OBS_MONTH,OBS_DAY,OBS_TIME,Q_DATE_TIME,LONGITUDE (+E),LATITUDE (+N),Q_POS,DEPTH_PRESS,DP_FLAG,    ,Q_    ,BPS$,Q_BPS$,C1PH,Q_C1PH,C2PH,Q_C2PH,DOXY,Q_DOXY,DPDT,Q_DPDT,OTMP,Q_OTMP,PPOX,Q_PPOX,PSAL,Q_PSAL,TEMP,Q_TEMP,TIS$,Q_TIS$
BA,CG2683  19,9987,MEDS,D,2019,10,01,1219,1,-50.9110,43.1150,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.6000,1,NaN,NaN
BA,CGCB    19,9929,MEDS,D,2019,05,17,0818,1,-50.6480,46.3680,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2000,1,NaN,NaN
BA,CGCB    19,9929,MEDS,D,2019,05,17,0818,1,-50.6480,46.3680,1,4.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2000,1,NaN,NaN
BA,CGCB    19,9929,MEDS,D,2019,05,17,0818,1,-50.6480,46.3680,1,10.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2000,1,NaN,NaN
BA,CGCB    19,9928,MEDS,D,2019,05,18,1329,1,-50.5770,46.7020,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6000,1,NaN,NaN
BA,CGCB    19,9928,MEDS,D,2019,05,18,1329,1,-50.5770,46.7020,1,6.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5000,1,NaN,NaN
BA,CGCB    19,9928,MEDS,D,2019,05,18,1329,1,-50.5770,46.7020,1,8.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4000,1,NaN,NaN
BA,CGCB    19,9928,MEDS,D,2019,05,18,1329,1,-50.5770,46.7020,1,9.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3000,1,NaN,NaN
BA,CGCB    19,9982,CWOW,D,2019,04,17,2207,1,-50.5420,47.4080,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.6000,1,NaN,NaN
BA,CGCB    19,9982,CWOW,D,2019,04,17,2207,1,-50.5420,47.4080,1,1.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.7000,1,NaN,NaN
BA,CGCB    19,9982,CWOW,D,2019,04,17,2207,1,-50.5420,47.4080,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.7000,1,NaN,NaN
BA,CGCB    19,9892,CWOW,D,2019,07,12,2127,1,-50.7090,47.9880,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0000,1,NaN,NaN
BA,CGCB    19,9892,CWOW,D,2019,07,12,2127,1,-50.7090,47.9880,1,4.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9000,1,NaN,NaN
BA,CGCB    19,9892,CWOW,D,2019,07,12,2127,1,-50.7090,47.9880,1,7.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.8000,1,NaN,NaN
BA,CGCB    19,9892,CWOW,D,2019,07,12,2127,1,-50.7090,47.9880,1,10.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4000,1,NaN,NaN
BA,MLRM6   19,9970,CWOW,D,2019,11,30,0508,1,-50.5920,47.3100,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0000,1,NaN,NaN
BA,MLRM6   19,9970,CWOW,D,2019,11,30,0508,1,-50.5920,47.3100,1,1.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9000,1,NaN,NaN
BA,MLRM6   19,9970,CWOW,D,2019,11,30,0508,1,-50.5920,47.3100,1,3.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8000,1,NaN,NaN
BA,CG2683  19,9990,CWOW,D,2019,06,12,1748,1,-50.5460,48.9600,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7000,1,NaN,NaN
BA,CG2683  19,9989,CWOW,D,2019,06,13,1448,1,-50.7420,49.0540,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4000,1,NaN,NaN
BA,CGCB    19,9922,MEDS,D,2019,05,08,0032,1,-50.8350,49.3680,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.7000,1,NaN,NaN
BA,CGCB    19,9921,MEDS,D,2019,05,17,1129,1,-51.4080,46.3710,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9000,1,NaN,NaN
BA,CGCB    19,9921,MEDS,D,2019,05,17,1129,1,-51.4080,46.3710,1,6.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8000,1,NaN,NaN
BA,CGCB    19,9921,MEDS,D,2019,05,17,1129,1,-51.4080,46.3710,1,8.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8000,1,NaN,NaN
BA,CGCB    19,9921,MEDS,D,2019,05,17,1129,1,-51.4080,46.3710,1,10.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7000,1,NaN,NaN
BA,CGCB    19,9920,MEDS,D,2019,05,14,0255,1,-51.1510,47.3680,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4000,1,NaN,NaN
BA,CGCB    19,9920,MEDS,D,2019,05,14,0255,1,-51.1510,47.3680,1,3.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4000,1,NaN,NaN
BA,CGCB    19,9919,MEDS,D,2019,05,14,0843,1,-51.9130,47.3650,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4000,1,NaN,NaN
BA,CGCB    19,9919,MEDS,D,2019,05,14,0843,1,-51.9130,47.3650,1,5.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4000,1,NaN,NaN
BA,CGCB    19,9891,CWOW,D,2019,07,12,2326,1,-51.1350,47.9360,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1000,1,NaN,NaN
BA,CGCB    19,9891,CWOW,D,2019,07,12,2326,1,-51.1350,47.9360,1,7.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9000,1,NaN,NaN
BA,CGCB    19,9891,CWOW,D,2019,07,12,2326,1,-51.1350,47.9360,1,8.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.5000,1,NaN,NaN
BA,CGCB    19,9891,CWOW,D,2019,07,12,2326,1,-51.1350,47.9360,1,10.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9000,1,NaN,NaN
BA,CGCB    19,9890,CWOW,D,2019,07,13,0137,1,-51.6080,47.8210,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7000,1,NaN,NaN
BA,CGCB    19,9889,CWOW,D,2019,07,13,0317,1,-51.9350,47.7250,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1000,1,NaN,NaN
BA,CGCB    19,9889,CWOW,D,2019,07,13,0317,1,-51.9350,47.7250,1,10.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9000,1,NaN,NaN
BA,MLRM6   19,9969,CWOW,D,2019,11,30,0753,1,-51.2890,47.3800,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0000,1,NaN,NaN
BA,MLRM6   19,9969,CWOW,D,2019,11,30,0753,1,-51.2890,47.3800,1,1.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9000,1,NaN,NaN
BA,MLRM6   19,9969,CWOW,D,2019,11,30,0753,1,-51.2890,47.3800,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8000,1,NaN,NaN
BA,CGCB    19,9918,MEDS,D,2019,05,04,2014,1,-51.2330,48.7010,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.5000,1,NaN,NaN
BA,CGCB    19,9917,MEDS,D,2019,05,10,1031,1,-51.9320,48.0360,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3000,1,NaN,NaN
BA,CGCB    19,9917,MEDS,D,2019,05,10,1031,1,-51.9320,48.0360,1,4.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3000,1,NaN,NaN
BA,CGCB    19,9917,MEDS,D,2019,05,10,1031,1,-51.9320,48.0360,1,8.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3000,1,NaN,NaN
BA,CGCB    19,9916,MEDS,D,2019,05,06,0711,1,-51.6240,49.3640,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.5000,1,NaN,NaN
BA,CG2683  19,9992,MEDS,D,2019,05,13,0546,1,-52.3490,43.8890,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3000,1,NaN,NaN
BA,CG2683  19,9997,MEDS,D,2019,05,06,1321,1,-52.9960,45.0710,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6000,1,NaN,NaN
BA,CG2683  19,9997,MEDS,D,2019,05,06,1321,1,-52.9960,45.0710,1,9.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5000,1,NaN,NaN
BA,CG2683  19,9997,MEDS,D,2019,05,06,1321,1,-52.9960,45.0710,1,10.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5000,1,NaN,NaN
BA,CGCB    19,9915,MEDS,D,2019,05,17,1423,1,-52.0910,46.3660,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7000,1,NaN,NaN
BA,CGCB    19,9915,MEDS,D,2019,05,17,1423,1,-52.0910,46.3660,1,7.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5000,1,NaN,NaN
BA,CGCB    19,9915,MEDS,D,2019,05,17,1423,1,-52.0910,46.3660,1,8.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5000,1,NaN,NaN
BA,CGCB    19,9915,MEDS,D,2019,05,17,1423,1,-52.0910,46.3660,1,9.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5000,1,NaN,NaN
BA,CGCB    19,9915,MEDS,D,2019,05,17,1423,1,-52.0910,46.3660,1,10.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4000,1,NaN,NaN
BA,CGCB    19,9914,MEDS,D,2019,05,18,0335,1,-52.7400,46.7010,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5000,1,NaN,NaN
BA,SHIP    19,9482,CWOW,D,2019,08,28,2159,1,-52.7060,46.9110,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.9000,1,NaN,NaN
BA,MLRM6   19,9998,CWOW,D,2019,11,18,0247,1,-52.7430,46.7870,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9000,1,NaN,NaN
BA,MLRM6   19,9998,CWOW,D,2019,11,18,0247,1,-52.7430,46.7870,1,3.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7000,1,NaN,NaN
BA,MLRM6   19,9997,CWOW,D,2019,11,18,0500,1,-52.9720,46.5280,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0000,1,NaN,NaN
BA,MLRM6   19,9997,CWOW,D,2019,11,18,0500,1,-52.9720,46.5280,1,1.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.8000,1,NaN,NaN
BA,MLRM6   19,9997,CWOW,D,2019,11,18,0500,1,-52.9720,46.5280,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.8000,1,NaN,NaN
BA,CGCB    19,9998,CWOW,D,2019,04,13,0254,1,-52.7030,47.2480,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.5000,1,NaN,NaN
BA,CGCB    19,9998,CWOW,D,2019,04,13,0254,1,-52.7030,47.2480,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.6000,1,NaN,NaN
BA,CGCB    19,9981,CWOW,D,2019,06,27,0326,1,-52.7070,47.2450,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4000,1,NaN,NaN
BA,CGCB    19,9981,CWOW,D,2019,06,27,0326,1,-52.7070,47.2450,1,5.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0000,1,NaN,NaN
BA,CGCB    19,9981,CWOW,D,2019,06,27,0326,1,-52.7070,47.2450,1,6.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7000,1,NaN,NaN
BA,CGCB    19,9981,CWOW,D,2019,06,27,0326,1,-52.7070,47.2450,1,10.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4000,1,NaN,NaN
BA,CG2683  19,9991,MEDS,D,2019,05,22,2320,1,-52.5710,47.5390,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1000,1,NaN,NaN
BA,CG2683  19,9988,CWOW,D,2019,06,19,1328,1,-52.5800,47.5400,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.5000,1,NaN,NaN
BA,CG2683  19,9988,CWOW,D,2019,06,19,1328,1,-52.5800,47.5400,1,6.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4000,1,NaN,NaN
BA,CG2683  19,9988,CWOW,D,2019,06,19,1328,1,-52.5800,47.5400,1,8.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0000,1,NaN,NaN
BA,CGCB    19,9913,MEDS,D,2019,05,14,1217,1,-52.6340,47.3680,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7000,1,NaN,NaN
BA,CGCB    19,9913,MEDS,D,2019,05,14,1217,1,-52.6340,47.3680,1,3.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6000,1,NaN,NaN
BA,CGCB    19,9912,MEDS,D,2019,05,14,1220,1,-52.6370,47.3620,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2000,1,NaN,NaN
BA,CGCB    19,9912,MEDS,D,2019,05,14,1220,1,-52.6370,47.3620,1,5.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4000,1,NaN,NaN
BA,CGCB    19,9912,MEDS,D,2019,05,14,1220,1,-52.6370,47.3620,1,6.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5000,1,NaN,NaN
BA,CGCB    19,9912,MEDS,D,2019,05,14,1220,1,-52.6370,47.3620,1,8.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6000,1,NaN,NaN
BA,CGCB    19,9912,MEDS,D,2019,05,14,1220,1,-52.6370,47.3620,1,9.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7000,1,NaN,NaN
BA,CGCB    19,9912,MEDS,D,2019,05,14,1220,1,-52.6370,47.3620,1,10.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7000,1,NaN,NaN
BA,CGCB    19,9895,CWOW,D,2019,07,11,1847,1,-52.6450,47.8930,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6000,1,NaN,NaN
BA,CGCB    19,9895,CWOW,D,2019,07,11,1847,1,-52.6450,47.8930,1,8.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.4000,1,NaN,NaN
BA,CGCB    19,9888,CWOW,D,2019,07,13,0521,1,-52.3650,47.6090,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5000,1,NaN,NaN
BA,MLRM6   19,9996,CWOW,D,2019,11,18,0108,1,-52.6750,47.0900,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2000,1,NaN,NaN
BA,MLRM6   19,9996,CWOW,D,2019,11,18,0108,1,-52.6750,47.0900,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0000,1,NaN,NaN
BA,MLRM6   19,9968,CWOW,D,2019,11,30,1055,1,-52.0580,47.4690,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0000,1,NaN,NaN
BA,MLRM6   19,9968,CWOW,D,2019,11,30,1055,1,-52.0580,47.4690,1,3.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8000,1,NaN,NaN
BA,MLRM6   19,9967,CWOW,D,2019,11,30,1752,1,-52.6590,47.8510,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8000,1,NaN,NaN
BA,MLRM6   19,9967,CWOW,D,2019,11,30,1752,1,-52.6590,47.8510,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7000,1,NaN,NaN
BA,CGCB    19,9911,MEDS,D,2019,05,05,0231,1,-52.0010,48.7010,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4000,1,NaN,NaN
BA,CGCB    19,9910,MEDS,D,2019,05,10,1309,1,-52.6450,48.0290,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2000,1,NaN,NaN
BA,CGCB    19,9894,CWOW,D,2019,07,11,1300,1,-52.6510,48.9660,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3000,1,NaN,NaN
BA,CGCB    19,9894,CWOW,D,2019,07,11,1300,1,-52.6510,48.9660,1,7.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2000,1,NaN,NaN
BA,CGCB    19,9893,CWOW,D,2019,07,11,1553,1,-52.7300,48.4390,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.2000,1,NaN,NaN
BA,CGCB    19,9893,CWOW,D,2019,07,11,1553,1,-52.7300,48.4390,1,10.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.9000,1,NaN,NaN
BA,MLRM6   19,9966,CWOW,D,2019,11,30,1955,1,-52.7420,48.1850,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0000,1,NaN,NaN
BA,MLRM6   19,9966,CWOW,D,2019,11,30,1955,1,-52.7420,48.1850,1,1.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8000,1,NaN,NaN
BA,CGCB    19,9909,MEDS,D,2019,05,06,1131,1,-52.3970,49.3670,1,2.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4000,1,NaN,NaN
BA,CGCB    19,9909,MEDS,D,2019,05,06,1131,1,-52.3970,49.3670,1,6.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4000,1,NaN,NaN
BA,CGCB    19,9906,CWOW,D,2019,07,11,0958,1,-52.5600,49.5100,1,0.0000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.0000,1,NaN,NaN
